Length,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,10
24,12
25,29
26,34
27,30
28,41
29,43
30,68
31,69
32,94
33,70
34,44
35,67
36,67
37,28
38,63
39,50
40,44
41,52
42,48
43,38
44,26
45,36
46,35
47,42
48,37
49,32
50,44
51,14
52,47
53,47
54,33
55,38
56,24
57,46
58,31
59,26
60,23
61,30
62,41
63,31
64,29
65,15
66,25
67,26
68,20
69,19
70,17
71,31
72,30
73,21
74,13
75,25
76,22
77,25
78,20
79,15
80,24
81,35
82,20
83,26
84,14
85,26
86,28
87,17
88,14
89,18
90,14
91,19
92,11
93,9
94,17
95,6
96,9
97,4
98,1
99,3
100,2
101,3
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
